SchoolName,DataID
BERGVILLE PRIMÊRE SKOOL,O6ZZMSR3IF
BERGVLIET HIGH SCHOOL,U3WU00CZQV
BERGVLIET PRIMARY SCHOOL,5C5JXOL4JN
BERNADINO HEIGHTS SEKONDÊR,49KU1WFNKK
BERTIE BARNARD LAERSKOOL,Z9D4G7C1J9
BERZELIA PRIMARY SCHOOL,B3N870T15C
BET-EL PRIMÊRE SKOOL,CE692FW5RR
BET-EL SKOOL VIR EPILEPTICI,TWGNEPU8UT
BEVERLEY PARK PRIMARY SCHOOL,ALXLO8CNFL
BISHOP LAVIS PRIMARY SCHOOL,CBCZ7DD6RZ
BISHOP LAVIS SEKONDÊR,GKNZFP065H
BISHOPS SCHOOL OF SKILLS,206CCUWB46
BISSETSDRIFT AKADEMIE,BMRR21HI56
BITTERFONTEIN PRIMÊRE SKOOL,8MZG8RM1J1
BLACKHEATH PRIMARY SCHOOL,BLKJVAU7OG
BLACKHEATH SEKONDÊR,1VXPGCYJ1A
BLANCO LAERSKOOL,136TOFVZW9
BLOEKOMBOS PRIMARY SCHOOL,6FJPJA6QD2
BLOEKOMBOS SECONDARY SCHOOL,OMH47WVOFX
BLOEMENDAL NGK PRIMÊRE SKOOL,QFG4FM4TSK
BLOEMENHOF NGK PRIMÊRE SKOOL,6QNH41T7J7
BLOEMHOF HOËRSKOOL,C4ZBZ663IH
BLOMVLEI PRIMARY SCHOOL,C83DI3EDQK
BLOSSOM STREET PRIMARY SCHOOL,ZXTJ7CBVZI
BLOUBERG RIDGE PRIMARY SCHOOL,MA36CFO8XO
BLOUBERGRANT SECONDARY SCHOOL,B3GRW7C002
BLOUVLEI SKOOL,QC7L7T15JQ
BLUE DOWNS PRIMARY SCHOOL,R44LGYSY3Q
BLUE RIDGE PRIMARY SCHOOL,SDP28T9MJQ
BLUEBERRY HILL HIGH SCHOOL,XOAGFBG5MG
BO-DOORNRIVIER PRIMÊRE SKOOL,YPQFY4I88J
BOESMANSRIVIER NGK PRIMÊRE SKOOL,0XQDO85QYH
BOKMAKIERIE PRIMARY SCHOOL,VUZ4XBF0LG
BOLAND LANDBOUSKOOL,JP26AALWSA
BONGA LOWER PRIMARY SCHOOL,OLWN4R7XT6
BONGOLETHU PRIMARY SCHOOL,Y8FXW75XKF
BONGOLETHU PRIMARY SCHOOL(NYANGA),SWI6SROAOO
BONNE ESPERANCE PRIMÊRE SKOOL,GICD6CM3UC
BONNIEVALE HOËRSKOOL,NN9WPX7UCX
BONNIEVALE PRIMÊRE SKOOL,3MY5OWJBL6
BONTEBOK PRIMÊRE SKOOL,X2YADN2HAB
BONTEHEUWEL SEKONDÊR,MCRDT75ZJQ
BOONTJIESKRAAL PRIMÊRE SKOOL,ZC70IX29TK
BOOYSENDAL NGK PRIMÊRE SKOOL,OOAUW7F4KY
BOPLAAS NGK PRIMÊRE SKOOL,7W9AY5ZTY5
BOSMANSDAM HOËRSKOOL,WXZFYHISB9
BOSMANSDAM PRIMARY SCHOOL,VMJE7JZDSU
BOSTON PRIMARY SCHOOL,M0Z3EE5VX4
BOTHA'S HALTE NGK PRIMÊRE SKOOL,1UJ0EOWWWY
BOTHASIG HIGH SCHOOL,TNOWV4B7F3
BOTRIVIER PRIMÊRE SKOOL,QXQ8QTE4WT
BOTTELARY PRIMÊRE SKOOL,IX73V88ABM
BOUNDARY PRIMARY SCHOOL,1TUR4CZAAJ
